decision = phase_error/rho,0.0000,2.0000,5.0000,10.0000,15.0000,20.0000,25.0000,30.0000,35.0000,40.0000
CRB,0.1163,0.1163,0.1163,0.1163,0.1163,0.1163,0.1163,0.1163,0.1163,0.1163
OBCNN,0.1912,0.1913,0.2183,0.2827,0.3548,0.4277,0.5107,0.6065,0.7230,0.8632
CNN,0.4216,0.4290,0.4535,0.4753,0.4920,0.5247,0.6755,0.7872,0.8581,0.9954
HMCViT,0.3597,0.3738,0.3850,0.4350,0.4587,0.5231,0.5818,0.6736,0.7970,0.9182
MUSIC_1deg,0.5648,0.5909,0.6248,0.6609,0.6514,0.6563,0.7421,0.7759,0.9347,1.0283
MUSIC_01deg,0.1298,0.1381,0.1656,0.2457,0.3272,0.4258,0.5303,0.6273,0.7393,0.8654
CBF_1deg,0.6734,0.6833,0.7085,0.7241,0.7013,0.6748,0.7461,0.7908,0.9048,1.0705
CBF_01deg,0.1329,0.1332,0.1628,0.2441,0.3317,0.4199,0.5273,0.6275,0.7408,0.8545
