decision = SNR/rho,-14.0000,-12.0000,-10.0000,-8.0000,-6.0000,-4.0000,-2.0000,0.0000,2.0000,4.0000,6.0000
CRB,0.5649,0.3808,0.2628,0.1861,0.1353,0.1006,0.0763,0.0587,0.0457,0.0358,0.0282
OBCNN,0.5696,0.3824,0.2883,0.2351,0.2012,0.1803,0.1678,0.1592,0.1534,0.1494,0.1468
CNN,2.9267,0.5402,0.4832,0.4688,0.4375,0.3933,0.3549,0.3401,0.3380,0.3359,0.3359
HMCViT,2.5981,0.4869,0.4354,0.4056,0.3699,0.3484,0.3380,0.3359,0.3359,0.3359,0.3359
MUSIC_1deg,0.9327,0.7220,0.6862,0.6494,0.5903,0.5437,0.4925,0.4563,0.4345,0.4187,0.4099
MUSIC_01deg,0.6906,0.4112,0.2753,0.2005,0.1460,0.1206,0.0971,0.0828,0.0707,0.0585,0.0574
CBF_1deg,0.8514,0.6731,0.6966,0.6977,0.6775,0.6589,0.6552,0.6511,0.6488,0.6485,0.6483
CBF_01deg,0.5695,0.3808,0.2732,0.1905,0.1455,0.1202,0.0993,0.0796,0.0758,0.0699,0.0621
